rows, columns, time to find success result, number of failures
6,6,0.004838705062866211,48
6,6,0.0008015632629394531,1
6,6,0.0016064643859863281,12
6,6,0.001474618911743164,13
6,6,0.0031325817108154297,32
6,6,0.009424448013305664,120
6,6,0.0013306140899658203,6
6,6,0.0014472007751464844,9
6,6,0.0025141239166259766,28
6,6,0.008247613906860352,112
6,6,0.003759622573852539,45
6,6,0.00083160400390625,1
6,6,0.003560781478881836,46
6,6,0.0038416385650634766,48
6,6,0.003979921340942383,52
6,6,0.001665353775024414,13
6,6,0.006069183349609375,77
6,6,0.00922846794128418,126
6,6,0.0015091896057128906,10
6,6,0.005133152008056641,63
6,6,0.0016150474548339844,9
6,6,0.0050106048583984375,64
6,6,0.0015668869018554688,11
6,6,0.0013697147369384766,9
6,6,0.0011401176452636719,6
6,6,0.005652427673339844,77
6,6,0.0024175643920898438,22
6,6,0.0008220672607421875,2
6,6,0.0064601898193359375,69
6,6,0.0010466575622558594,3
6,6,0.0013000965118408203,8
6,6,0.003493070602416992,41
6,6,0.0008292198181152344,2
6,6,0.002129793167114258,21
6,6,0.0018687248229980469,14
6,6,0.003120899200439453,39
6,6,0.0022308826446533203,19
6,6,0.00527191162109375,65
6,6,0.006585597991943359,73
6,6,0.0012209415435791016,8
6,6,0.010353326797485352,131
6,6,0.0010721683502197266,5
6,6,0.0008647441864013672,3
6,6,0.0010645389556884766,5
6,6,0.0008022785186767578,2
6,6,0.005169868469238281,60
6,6,0.0020995140075683594,18
6,6,0.0037598609924316406,43
6,6,0.0022873878479003906,21
6,6,0.00115203857421875,6
6,6,0.0014755725860595703,9
6,6,0.0032529830932617188,38
6,6,0.002805948257446289,29
6,6,0.0008566379547119141,2
6,6,0.008572101593017578,114
6,6,0.002155303955078125,15
6,6,0.0039517879486083984,45
6,6,0.0029249191284179688,29
6,6,0.011035919189453125,146
6,6,0.004044294357299805,43
6,6,0.0022957324981689453,24
6,6,0.005538225173950195,75
6,6,0.0019118785858154297,20
6,6,0.0035560131072998047,46
6,6,0.0021736621856689453,25
6,6,0.001975536346435547,21
6,6,0.006266355514526367,83
6,6,0.004011392593383789,51
6,6,0.006463527679443359,92
6,6,0.00457763671875,55
6,6,0.0024480819702148438,21
6,6,0.002079486846923828,17
6,6,0.012471675872802734,173
6,6,0.005515098571777344,56
6,6,0.0020270347595214844,16
6,6,0.010216474533081055,142
6,6,0.0020046234130859375,11
6,6,0.0010938644409179688,4
6,6,0.005734682083129883,68
6,6,0.0008003711700439453,1
7,7,0.011113643646240234,137
7,7,0.14592242240905762,1857
7,7,0.0880742073059082,952
7,7,0.061338186264038086,777
7,7,0.02225351333618164,256
7,7,0.0025489330291748047,15
7,7,0.02044677734375,244
7,7,0.004929065704345703,55
7,7,0.012398481369018555,138
7,7,0.0017876625061035156,8
7,7,0.00569462776184082,62
7,7,0.011865615844726562,140
7,7,0.0035157203674316406,33
7,7,0.008022546768188477,89
7,7,0.0012857913970947266,5
7,7,0.05964493751525879,723
7,7,0.002002716064453125,11
7,7,0.023157358169555664,271
7,7,0.1429142951965332,1789
7,7,0.05316781997680664,494
7,7,0.018964767456054688,234
7,7,0.1168980598449707,1443
7,7,0.10693144798278809,1315
7,7,0.005321025848388672,46
7,7,0.0012218952178955078,5
7,7,0.019948482513427734,246
7,7,0.0385282039642334,301
7,7,0.03966069221496582,412
7,7,0.025081872940063477,287
7,7,0.021922588348388672,267
7,7,0.023303985595703125,285
7,7,0.009463310241699219,111
7,7,0.013007879257202148,152
